📺综合,#genre#
CCTV-1,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV1
CCTV-1,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv1
CCTV-1,http://114.95.156.205:4022/rtp/239.45.3.145:5140
CCTV-1,http://14.112.86.85:4022/rtp/239.77.0.129:5146
CCTV-1,http://112.255.69.58:6666/rtp/239.253.254.77:8000
CCTV-1,http://111.175.30.248:8848/rtp/239.254.96.96:8550
CCTV-1,http://123.157.31.182:7912/rtp/233.50.201.118:5140
CCTV-1,http://114.252.236.205:8000/rtp/239.3.1.129:8008
CCTV-1,http://183.66.15.138:4070/rtp/235.254.198.51:1480
CCTV-1,http://171.213.193.65:8818/udp/239.93.0.184:5140
CCTV-2,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV2
CCTV-2,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv2
CCTV-2,http://114.95.156.205:4022/rtp/239.45.1.109:5140
CCTV-2,http://14.112.86.85:4022/rtp/239.253.43.17:5146
CCTV-2,http://112.255.69.58:6666/rtp/239.253.254.232:8000
CCTV-2,http://111.175.30.248:8848/rtp/239.69.1.102:10250
CCTV-2,http://123.157.31.182:7912/rtp/233.50.201.119:5140
CCTV-2,http://114.252.236.205:8000/rtp/239.3.1.60:8084
CCTV-2,http://183.66.15.138:4070/rtp/235.254.198.52:1484
CCTV-2,http://171.213.193.65:8818/udp/239.93.1.23:6000
CCTV-3,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV3
CCTV-3,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv3
CCTV-3,http://114.95.156.205:4022/rtp/239.45.1.68:5140
CCTV-3,http://14.112.86.85:4022/rtp/239.77.0.169:5146
CCTV-3,http://112.255.69.58:6666/rtp/239.253.254.191:8000
CCTV-3,http://111.175.30.248:8848/rtp/239.69.1.122:10370
CCTV-3,http://123.157.31.182:7912/rtp/233.50.201.196:5140
CCTV-3,http://114.252.236.205:8000/rtp/239.3.1.172:8001
CCTV-3,http://183.66.15.138:4070/rtp/235.254.198.141:1842
CCTV-3,http://171.213.193.65:8818/udp/239.93.1.11:2223
CCTV-4,https://tvpull.careryun.com/tv/cctv4.m3u8
CCTV-4,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV4
CCTV-4,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv4
CCTV-4,http://114.95.156.205:4022/rtp/239.45.0.2:5140
CCTV-4,http://14.112.86.85:4022/udp/239.77.1.163:5146
CCTV-4,http://112.255.69.58:6666/rtp/239.253.254.187:8000
CCTV-4,http://111.175.30.248:8848/rtp/239.69.1.138:10466
CCTV-4,http://123.157.31.182:7912/rtp/233.50.201.4:5140
CCTV-4,http://114.252.236.205:8000/rtp/239.3.1.105:8092
CCTV-4,http://183.66.15.138:4070/rtp/235.254.198.183:7980
CCTV-5,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5
CCTV-5,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5
CCTV-5,http://114.95.156.205:4022/rtp/239.45.1.69:5140
CCTV-5,http://14.112.86.85:4022/rtp/239.77.0.170:5146
CCTV-5,http://www.erbao1981.top:8188/udp/239.76.253.155:9000
CCTV-5,http://xeace.cn:8888/rtp/239.93.42.37:5140
CCTV-5,http://112.255.69.58:6666/rtp/239.253.254.192:8000
CCTV-5,http://111.175.30.248:8848/rtp/239.69.1.123:10376
CCTV-5,http://123.157.31.182:7912/rtp/233.50.201.197:5140
CCTV-5,http://114.252.236.205:8000/rtp/239.3.1.173:8001
CCTV-5+,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV5p
CCTV-5+,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5p
CCTV-5+,http://14.112.86.85:4022/rtp/239.77.1.147:5146
CCTV-5+,http://112.255.69.58:6666/rtp/239.253.254.80:8000
CCTV-5+,http://111.175.30.248:8848/rtp/239.69.1.12:9712
CCTV-5+,http://36.44.157.152:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://123.157.31.182:7912/rtp/233.50.201.220:5140
CCTV-5+,http://221.226.4.10:9901/tsfile/live/0005_1.m3u8
CCTV-5+,http://114.252.236.205:8000/rtp/239.3.1.130:8004
CCTV-5+,http://183.66.15.138:4070/rtp/235.254.198.122:1764
CCTV-6,http://211.101.234.24:68/公众号猫月牙/mg.php?id=CCTV6
